School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,97.1,3.1,5.7,3.5,5.7,2019-20,NA,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Agawam-Agawam High,00050505,94.5,5.7,15.9,13.6,6.6,2019-20,NA,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Agawam-Agawam Junior High,00050405,95.2,5.1,13.2,11.4,7.5,2019-20,NA,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,94.4,6.0,15.8,14.2,7.0,2019-20,NA,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,95.7,4.6,12.1,8.4,1.9,2019-20,NA,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,96.4,3.9,7.7,5.6,4.1,2019-20,NA,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,96.0,4.3,7.9,6.7,7.4,2019-20,NA,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Athol-Royalston-Athol High,06150505,92.3,8.0,26.4,23.3,17.8,2019-20,NA,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,93.3,7.0,24.3,23.2,17.4,2019-20,NA,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Senior High,00170505,94.5,6.0,17.7,14.6,0.0,2019-20,NA,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Auburn-Auburn Middle,00170305,96.0,4.4,8.5,7.2,0.0,2019-20,NA,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,94.4,6.0,18.8,13.1,0.0,2019-20,NA,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,95.2,5.2,11.7,10.1,4.5,2019-20,NA,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,94.2,6.3,19.9,17.5,11.3,2019-20,NA,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,94.5,6.2,21.8,17.0,15.1,2019-20,NA,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-Monument Valley Regional Middle School,06180310,94.6,5.8,17.3,14.6,2.7,2019-20,NA,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berkshire Hills-Monument Mt Regional High,06180505,94.1,6.3,20.3,17.7,8.0,2019-20,NA,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berlin-Boylston-Tahanto Regional High,06200505,96.2,4.1,9.6,7.9,0.0,2019-20,NA,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,96.3,4.4,9.5,6.2,1.7,2019-20,NA,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,94.8,5.6,14.7,13.4,6.5,2019-20,NA,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Wahconah Regional High,06350505,94.1,6.5,19.0,12.5,0.0,2019-20,NA,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,94.9,5.6,16.5,11.8,0.0,2019-20,NA,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Chicopee-Chicopee Comprehensive High School,00610510,94.9,5.4,15.2,12.4,8.4,2019-20,NA,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
Chicopee-Chicopee Academy,00610021,80.7,18.7,68.3,68.3,50.0,2019-20,NA,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Bellamy Middle,00610305,94.8,5.5,16.0,13.4,9.9,2019-20,NA,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Chicopee-Dupont Middle,00610310,94.5,5.8,18.0,15.3,14.3,2019-20,NA,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Chicopee-Chicopee High,00610505,93.7,6.6,21.3,19.1,16.0,2019-20,NA,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Clinton-Clinton Middle School,00640305,94.7,5.7,18.1,13.3,0.0,2019-20,NA,0064,Clinton,Clinton Middle School,Worcester,573,274,Yes,52%,Include
Clinton-Clinton Senior High,00640505,93.9,6.6,23.4,16.3,0.0,2019-20,NA,0064,Clinton,Clinton Senior High,Worcester,582,558,Yes,4%,Include
Douglas-Douglas Middle School,00770305,95.8,4.5,9.5,8.5,5.9,2019-20,NA,0077,Douglas,Douglas Middle School,Worcester,284,193,Yes,32%,Include
Douglas-Douglas High School,00770505,94.8,5.6,17.5,14.5,9.1,2019-20,NA,0077,Douglas,Douglas High School,Worcester,267,264,Yes,0%,Include
Dudley-Charlton Reg-Charlton Middle School,06580310,96.3,4.0,7.4,4.7,3.4,2019-20,NA,0658,Dudley-Charlton Reg,Charlton Middle School,Worcester,631,316,Yes,50%,Include
Dudley-Charlton Reg-Dudley Middle School,06580305,96.1,4.3,7.7,7.0,3.2,2019-20,NA,0658,Dudley-Charlton Reg,Dudley Middle School,Worcester,540,285,Yes,47%,Include
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,95.0,5.5,14.9,12.0,9.0,2019-20,NA,0658,Dudley-Charlton Reg,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
East Longmeadow-East Longmeadow High,00870505,94.5,6.1,18.0,13.1,0.0,2019-20,NA,0087,East Longmeadow,East Longmeadow High,Hampden,753,750,Yes,0%,Include
East Longmeadow-Birchland Park,00870305,95.6,4.9,12.2,8.5,0.0,2019-20,NA,0087,East Longmeadow,Birchland Park,Hampden,590,403,Yes,32%,Include
Easthampton-Easthampton High,00860505,92.5,7.9,23.6,20.6,0.0,2019-20,NA,0086,Easthampton,Easthampton High,Hampshire,377,377,Yes,0%,Include
Fitchburg-Goodrich Academy,00970510,94.7,4.8,17.5,22.3,17.5,2019-20,NA,0097,Fitchburg,Goodrich Academy,Worcester,186,160,Yes,0%,Include
Fitchburg-Memorial Middle School,00970048,94.8,5.6,18.1,15.2,8.4,2019-20,NA,0097,Fitchburg,Memorial Middle School,Worcester,601,370,Yes,38%,Include
Fitchburg-Arthur M Longsjo Middle School,00970315,93.5,6.9,25.6,23.9,12.4,2019-20,NA,0097,Fitchburg,Arthur M Longsjo Middle School,Worcester,614,394,Yes,36%,Include
Fitchburg-Fitchburg High,00970505,92.1,8.3,31.5,30.1,21.7,2019-20,NA,0097,Fitchburg,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,92.5,8.1,25.3,24.0,18.1,2019-20,NA,0413,Four Rivers Charter Public (District),Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,96.5,3.8,5.9,5.1,0.0,2019-20,NA,0818,Franklin County Regional Vocational Technical,Franklin County Technical,Franklin,643,643,Yes,0%,Include
Frontier-Frontier Regional,06700505,94.6,6.0,19.4,10.7,0.0,2019-20,NA,0670,Frontier,Frontier Regional,Franklin,588,582,Yes,0%,Include
Gardner-Gardner Academy for Learning and Technology,01030515,92.6,7.3,23.4,22.7,21.1,2019-20,NA,0103,Gardner,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
Gardner-Gardner High,01030505,94.3,5.7,19.0,18.1,11.7,2019-20,NA,0103,Gardner,Gardner High,Worcester,808,804,Yes,0%,Include
Gateway-Gateway Regional High,06720505,94.4,6.2,16.7,11.8,1.5,2019-20,NA,0672,Gateway,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
Gill-Montague-Turners Fall High,06740505,93.6,6.9,21.7,20.7,13.1,2019-20,NA,0674,Gill-Montague,Turners Fall High,Franklin,199,197,Yes,0%,Include
Gill-Montague-Great Falls Middle,06740310,93.4,7.1,21.8,19.7,10.5,2019-20,NA,0674,Gill-Montague,Great Falls Middle,Franklin,228,169,Yes,26%,Include
Grafton-Grafton High School,01100505,94.7,5.8,13.5,10.9,0.0,2019-20,NA,0110,Grafton,Grafton High School,Worcester,914,899,Yes,0%,Include
Grafton-Grafton Middle,01100305,95.6,4.8,11.1,9.8,0.0,2019-20,NA,0110,Grafton,Grafton Middle,Worcester,478,478,Yes,0%,Include
Granby-Granby Jr Sr High School,01110505,95.9,4.5,9.0,7.2,4.9,2019-20,NA,0111,Granby,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
Greenfield-Greenfield High,01140505,91.8,8.7,32.4,30.4,24.9,2019-20,NA,0114,Greenfield,Greenfield High,Franklin,404,394,Yes,0%,Include
Greenfield Commonwealth Virtual District-Greenfield Commonwealth Virtual School,39010900,90.9,9.1,28.0,28.6,0.0,2019-20,NA,3901,Greater Commonwealth Virtual District,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
Hadley-Hopkins Academy,01170505,95.5,4.9,15.5,9.6,2.4,2019-20,NA,0117,Hadley,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,95.5,5.1,12.8,9.5,1.9,2019-20,NA,0499,Hampden Charter School of Science (District),Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
Hampden-Wilbraham-Wilbraham Middle,06800310,95.5,5.0,11.3,6.8,0.0,2019-20,NA,0680,Hampden-Wilbraham,Wilbraham Middle,Hampden,613,413,Yes,33%,Include
Hampden-Wilbraham-Minnechaug Regional High,06800505,95.9,4.5,11.3,6.9,11.3,2019-20,NA,0680,Hampden-Wilbraham,Minnechaug Regional High,Hampden,990,983,Yes,0%,Include
Hampshire-Hampshire Regional High,06830505,94.2,6.1,19.2,16.1,0.0,2019-20,NA,0683,Hampshire,Hampshire Regional High,Hampshire,718,716,Yes,0%,Include
Harvard-Bromfield,01250505,96.0,4.3,8.9,6.5,0.0,2019-20,NA,0125,Harvard,The Bromfield High School,Worcester,328,328,Yes,0%,Include
Hatfield-Smith Academy,01270505,95.7,4.7,9.9,6.3,0.0,2019-20,NA,0127,Hatfield,Smith Academy,Hampshire,109,109,Yes,0%,Include
Holyoke-Holyoke High,01370505,89.7,10.6,31.1,29.0,22.2,2019-20,NA,0137,Holyoke,Holyoke High,Hampden,1569,1569,Yes,0%,Include
Holyoke-Holyoke STEM Academy,01370320,94.0,6.3,22.2,22.7,11.6,2019-20,NA,0137,Holyoke,Holyoke STEM Academy,Hampden,289,196,Yes,32%,Include
Holyoke-Lt Clayre Sullivan Elementary,01370055,93.5,6.7,21.7,20.2,10.9,2019-20,NA,0137,Holyoke,Lt Clayre Sullivan Elementary,Hampden,463,314,Yes,32%,Include
Holyoke-Joseph Metcalf School,01370003,95.4,5.0,14.7,10.7,8.1,2019-20,NA,0137,Holyoke,Joseph Metcalf School,Hampden,213,140,Yes,34%,Include
Hoosac Valley Regional-Hoosac Valley High School,06030505,93.4,7.2,21.8,16.0,0.0,2019-20,NA,0603,Hoosac Valley Regional,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
Hopedale-Hopedale Jr Sr High,01380505,95.9,4.5,9.4,8.1,6.2,2019-20,NA,0138,Hopedale,Hopedale Jr Sr High,Worcester,456,453,Yes,0%,Include
Lee-Lee Middle/High School,01500505,95.2,5.2,14.7,13.6,2.2,2019-20,NA,0150,Lee,Lee Middle/High School,Berkshire,328,327,Yes,0%,Include
Leicester-Leicester High,01510505,94.3,6.2,18.5,14.9,0.0,2019-20,NA,0151,Leicester,Leicester High,Worcester,388,384,Yes,0%,Include
Leicester-Leicester Middle,01510015,95.9,4.4,8.8,6.3,0.0,2019-20,NA,0151,Leicester,Leicester Middle,Worcester,394,204,Yes,48%,Include
Lenox-Lenox Memorial High,01520505,96.0,4.3,10.4,9.1,0.9,2019-20,NA,0152,Lenox,Lenox Memorial High,Berkshire,439,371,Yes,15%,Include
Leominster-Samoset School,01530045,95.3,5.1,13.1,12.7,7.3,2019-20,NA,0153,Leominster,Samoset School,Worcester,495,320,Yes,35%,Include
Leominster-Center For Technical Education Innovation,01530605,94.8,5.7,17.5,14.8,10.3,2019-20,NA,0153,Leominster,Center For Technical Education Innovation,Worcester,821,811,Yes,0%,Include
Leominster-Leominster Center for Excellence,01530515,88.2,12.0,52.3,50.0,50.0,2019-20,NA,0153,Leominster,Leominster Center for Excellence,Worcester,65,65,Yes,0%,Include
Leominster-Leominster High School,01530505,93.9,6.5,24.8,21.6,14.2,2019-20,NA,0153,Leominster,Leominster High School,Worcester,1060,1055,Yes,0%,Include
Leominster-Sky View Middle School,01530320,95.3,5.1,16.0,14.3,10.0,2019-20,NA,0153,Leominster,Sky View Middle School,Worcester,869,565,Yes,35%,Include
Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,95.0,5.3,14.5,12.7,0.0,2019-20,NA,3514,Libertas Academy Charter School (District),Libertas Academy Charter School,Hampden,563,470,Yes,17%,Include
Longmeadow-Longmeadow High,01590505,96.1,4.2,10.1,8.4,0.2,2019-20,NA,0159,Longmeadow,Longmeadow High,Hampden,897,897,Yes,0%,Include
Longmeadow-Williams Middle,01590305,95.3,5.0,9.8,7.6,0.0,2019-20,NA,0159,Longmeadow,Williams Middle,Hampden,337,219,Yes,35%,Include
Longmeadow-Glenbrook Middle,01590017,95.7,4.5,11.1,8.1,0.0,2019-20,NA,0159,Longmeadow,Glenbrook Middle,Hampden,327,221,Yes,32%,Include
Ludlow-Paul R Baird Middle,01610305,95.9,4.5,9.6,6.3,6.4,2019-20,NA,0161,Ludlow,Paul R Baird Middle,Hampden,513,362,Yes,29%,Include
Ludlow-Ludlow Senior High,01610505,95.1,5.5,13.9,9.4,4.0,2019-20,NA,0161,Ludlow,Ludlow Senior High,Hampden,736,732,Yes,0%,Include
Lunenburg-Lunenburg Middle School,01620305,96.0,4.4,8.5,7.5,0.0,2019-20,NA,0162,Lunenburg,Lunenburg Middle School,Worcester,382,229,Yes,40%,Include
Lunenburg-Lunenburg High,01620505,95.1,5.3,15.1,10.9,0.0,2019-20,NA,0162,Lunenburg,Lunenburg High,Worcester,452,452,Yes,0%,Include
Ma Academy for Math and Science-Ma Academy for Math and Science School,04680505,99.4,0.8,1.0,0.0,1.0,2019-20,NA,0468,Ma Academy for Math and Science,Ma Academy for Math and Science School,Worcester,99,99,Yes,0%,Include
Mendon-Upton-Miscoe Hill School,07100015,95.9,4.5,10.1,7.0,0.0,2019-20,NA,0710,Mendon-Upton,Miscoe Hill School,Worcester,647,306,Yes,53%,Include
Mendon-Upton-Nipmuc Regional High,07100510,93.3,7.4,23.9,18.8,0.0,2019-20,NA,0710,Mendon-Upton,Nipmuc Regional High,Worcester,534,528,Yes,0%,Include
Milford-Milford High,01850505,92.7,7.6,24.8,23.0,15.4,2019-20,NA,0185,Milford,Milford High,Worcester,1316,1316,Yes,0%,Include
Milford-Stacy Middle,01850305,94.6,5.6,16.6,15.3,12.6,2019-20,NA,0185,Milford,Stacy Middle,Worcester,989,664,Yes,33%,Include
Millbury-Millbury Junior/Senior High,01860505,95.5,4.9,12.1,10.5,5.2,2019-20,NA,0186,Millbury,Millbury Junior/Senior High,Worcester,722,717,Yes,0%,Include
Mohawk Trail-Mohawk Trail Regional School,07170505,91.6,8.8,29.5,25.3,13.1,2019-20,NA,0717,Mohawk Trail,Mohawk Trail Regional School,Franklin,316,316,Yes,0%,Include
Monson-Monson High School,01910505,94.2,6.1,19.4,16.9,11.2,2019-20,NA,0191,Monson,Monson High School,Hampden,280,273,Yes,0%,Include
Montachusett Regional Vocational Technical-Montachusett Regional Vocational Technical,08320605,95.5,5.0,12.2,10.5,6.4,2019-20,NA,0832,Montachusett Regional Vocational Technical,Montachusett Regional Vocational Technical,Worcester,1417,1417,Yes,0%,Include
Mount Greylock-Mt Greylock Regional High,07150505,95.4,4.8,13.1,11.1,3.4,2019-20,NA,0715,Mount Greylock,Mt Greylock Regional High,Berkshire,539,537,Yes,0%,Include
Narragansett-Narragansett Regional High,07200505,93.0,7.2,20.0,18.2,9.1,2019-20,NA,0720,Narragansett,Narragansett Regional High,Worcester,492,489,Yes,0%,Include
Nashoba-Luther Burbank Middle School,07250305,96.0,4.3,7.7,7.3,0.0,2019-20,NA,0725,Nashoba,Luther Burbank Middle School,Worcester,245,173,Yes,29%,Include
Nashoba-Hale,07250310,97.0,3.3,4.3,3.3,0.0,2019-20,NA,0725,Nashoba,Hale,Worcester,247,154,Yes,38%,Include
Nashoba-Nashoba Regional,07250505,94.4,6.1,14.6,11.8,0.0,2019-20,NA,0725,Nashoba,Nashoba Regional,Worcester,806,799,Yes,0%,Include
North Adams-Drury High,02090505,92.3,8.1,29.9,27.7,15.5,2019-20,NA,0209,North Adams,Drury High,Berkshire,438,432,Yes,0%,Include
North Brookfield-North Brookfield High,02150505,94.6,6.9,21.2,14.4,21.2,2019-20,NA,0215,North Brookfield,North Brookfield High,Worcester,157,123,Yes,22%,Include
Northampton-John F Kennedy Middle School,02100410,94.6,5.8,17.4,13.1,11.0,2019-20,NA,0210,Northampton,John F Kennedy Middle School,Hampshire,577,400,Yes,31%,Include
Northampton-Northampton High,02100505,94.6,5.8,16.1,14.0,9.1,2019-20,NA,0210,Northampton,Northampton High,Hampshire,875,869,Yes,0%,Include
Northampton-Smith Vocational Agricultural-Smith Vocational and Agricultural High,04060705,95.2,5.1,14.4,13.4,8.2,2019-20,NA,0406,Northampton-Smith Vocational Agricultural,Smith Vocational and Agricultural High,Hampshire,587,587,Yes,0%,Include
Northboro-Southboro-Algonquin Regional High,07300505,94.9,5.5,14.5,12.1,1.7,2019-20,NA,0730,Northboro-Southboro,Algonquin Regional High,Worcester,1197,1181,Yes,0%,Include
Northborough-Robert E. Melican Middle School,02130305,96.1,4.2,10.8,8.8,1.1,2019-20,NA,0213,Northborough,Robert E. Melican Middle School,Worcester,545,360,Yes,34%,Include
Northbridge-Northbridge Middle,02140305,96.0,4.4,12.1,10.4,7.6,2019-20,NA,0214,Northbridge,Northbridge Middle,Worcester,394,274,Yes,30%,Include
Northbridge-Northbridge High,02140505,94.1,6.3,19.4,17.4,10.6,2019-20,NA,0214,Northbridge,Northbridge High,Worcester,471,467,Yes,0%,Include
Northern Berkshire Regional Vocational Technical-Charles McCann Vocational Technical,08510605,94.5,5.9,19.5,16.0,18.7,2019-20,NA,0851,Northern Berkshire Regional Vocational Technical,Charles McCann Vocational Technical,Berkshire,514,514,Yes,0%,Include
Oxford-Oxford Middle,02260405,95.7,4.6,8.6,6.3,0.0,2019-20,NA,0226,Oxford,Oxford Middle,Worcester,385,251,Yes,35%,Include
Oxford-Oxford High,02260505,92.6,8.0,25.2,19.2,0.0,2019-20,NA,0226,Oxford,Oxford High,Worcester,453,405,Yes,10%,Include
Palmer-Palmer High,02270505,94.5,5.9,16.7,13.6,9.7,2019-20,NA,0227,Palmer,Palmer High,Hampden,416,414,Yes,0%,Include
Pathfinder Regional Vocational Technical-Pathfinder Vocational Technical,08600605,94.7,5.7,16.1,11.5,0.0,2019-20,NA,0860,Pathfinder Regional Vocational Technical,Pathfinder Vocational Technical,Hampden,660,660,Yes,0%,Include
Phoenix Academy Public Charter High School Springfield (District)-Phoenix Academy Public Charter High School Springfield,35080505,47.3,47.3,93.2,95.0,53.8,2019-20,NA,3508,"Phoenix Academy Public Charter High School, Springfield (District)","Phoenix Academy Public Charter High School, Springfield",Hampden,158,158,Yes,0%,Include
Pioneer Valley-Pioneer Valley Regional,07500505,95.5,4.8,11.1,9.7,4.0,2019-20,NA,0750,Pioneer Valley,Pioneer Valley Regional,Franklin,239,236,Yes,0%,Include
Pioneer Valley Chinese Immersion Charter (District)-Pioneer Valley Chinese Immersion Charter School,04970205,95.3,5.1,13.7,9.0,0.0,2019-20,NA,0497,Pioneer Valley Chinese Immersion Charter (District),Pioneer Valley Chinese Immersion Charter School,Hampshire,584,255,Yes,56%,Include
Pioneer Valley Performing Arts Charter Public (District)-Pioneer Valley Performing Arts Charter Public School,04790505,92.4,8.3,31.3,26.0,0.0,2019-20,NA,0479,Pioneer Valley Performing Arts Charter Public (District),Pioneer Valley Performing Arts Charter Public School,Hampshire,397,397,Yes,0%,Include
Pittsfield-John T Reid Middle,02360305,90.7,9.9,37.1,33.1,0.0,2019-20,NA,0236,Pittsfield,John T Reid Middle,Berkshire,407,300,Yes,26%,Include
Pittsfield-Theodore Herberg Middle,02360310,91.7,8.9,29.5,28.4,0.0,2019-20,NA,0236,Pittsfield,Theodore Herberg Middle,Berkshire,587,400,Yes,32%,Include
Pittsfield-Taconic High,02360510,89.6,11.0,38.3,35.5,0.0,2019-20,NA,0236,Pittsfield,Taconic High,Berkshire,824,824,Yes,0%,Include
Pittsfield-Pittsfield High,02360505,90.4,10.1,31.7,29.8,0.0,2019-20,NA,0236,Pittsfield,Pittsfield High,Berkshire,727,712,Yes,0%,Include
Quabbin-Quabbin Regional Middle School,07530405,94.1,6.1,14.7,13.4,0.0,2019-20,NA,0753,Quabbin,Quabbin Regional Middle School,Worcester,510,346,Yes,32%,Include
Quabbin-Quabbin Regional High School,07530505,94.3,5.8,15.7,15.1,7.8,2019-20,NA,0753,Quabbin,Quabbin Regional High School,Worcester,545,542,Yes,0%,Include
Quaboag Regional-Quaboag Regional Middle Innovation School,07780305,95.1,4.9,13.4,10.2,10.2,2019-20,NA,0778,Quaboag Regional,Quaboag Regional Middle Innovation School,Worcester,196,196,Yes,0%,Include
Quaboag Regional-Quaboag Regional High,07780505,92.7,7.3,24.8,23.7,16.1,2019-20,NA,0778,Quaboag Regional,Quaboag Regional High,Worcester,334,334,Yes,0%,Include
Ralph C Mahar-Ralph C Mahar Regional,07550505,93.9,6.6,20.9,18.1,0.5,2019-20,NA,0755,Ralph C Mahar,Ralph C Mahar Regional,Franklin,509,509,Yes,0%,Include
Sabis International Charter (District)-Sabis International Charter School,04410505,95.3,5.1,13.8,9.4,6.9,2019-20,NA,0441,Springfield International Charter (District),Springfield International Charter School,Hampden,1511,711,Yes,53%,Include
Shrewsbury-Oak Middle School,02710030,96.4,3.9,8.2,6.9,0.0,2019-20,NA,0271,Shrewsbury,Oak Middle School,Worcester,914,914,Yes,0%,Include
Shrewsbury-Shrewsbury Sr High,02710505,92.6,7.9,23.1,19.7,0.0,2019-20,NA,0271,Shrewsbury,Shrewsbury High School,Worcester,1891,1869,Yes,0%,Include
Sizer School: A North Central Charter Essential (District)-Sizer School: A North Central Charter Essential School,04740505,93.8,6.6,21.7,19.0,0.0,2019-20,NA,0474,Sizer School: A North Central Charter Essential (District),Sizer School: A North Central Charter Essential School,Worcester,282,282,Yes,0%,Include
South Hadley-South Hadley High,02780505,92.8,7.6,21.7,19.9,0.0,2019-20,NA,0278,South Hadley,South Hadley High,Hampshire,479,475,Yes,0%,Include
South Hadley-Michael E. Smith Middle School,02780305,95.1,5.1,12.7,11.8,0.0,2019-20,NA,0278,South Hadley,Michael E. Smith Middle School,Hampshire,505,244,Yes,52%,Include
Southborough-P Brent Trottier,02760305,97.1,3.1,4.1,3.1,0.0,2019-20,NA,0276,Southborough,P Brent Trottier,Worcester,404,274,Yes,32%,Include
Southbridge-Southbridge Academy,02770525,73.9,24.3,82.4,88.2,52.9,2019-20,NA,0277,Southbridge,Southbridge Academy,Worcester,21,21,Yes,0%,Include
